culture_ar,culture_id,flooding_d,gie_id,gie_locati,lat_grp,lat_plot,lon_grp,lon_plot,parcel_cod,parcel_loc,phenologic,producer_i,production,state_name,2024-01-17,2024-01-22,2024-01-27,2024-02-01,2024-02-06,2024-02-11,2024-02-16,2024-02-21,2024-02-26,2024-03-02,2024-03-07,2024-03-12,2024-03-17,2024-03-22,2024-03-27,2024-04-01,2024-04-06,2024-04-11,2024-04-16,2024-04-21,2024-04-26,2024-05-01,2024-05-06,2024-05-11,2024-05-16,2024-05-21,2024-05-26,2024-05-31,2024-06-05,2024-06-10,2024-06-15,2024-06-20,2024-06-25,2024-06-30,2024-07-05,2024-07-10,2024-07-15,2024-07-20,2024-07-25,2024-07-30,flooding_date_rs
4.694,2295,,,,,16.469486666667,,-16.015076666667,SN0293600005,,Maturation : Stade Dur,a276dbef-b575-4538-865f-406ef9324c2b,1.2267315106112,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2024-03-22
1.6442,2285,,,,,16.470655833334,,-16.032535,SN0293600001,,Maturation : Stade Dur,11c8c357-e1c0-42b3-9b29-7318d2cb2dff,0.61757567762882,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,2024-04-06
1.3732,2288,,,,,16.4710675,,-16.031845833333,SN0293600004,,Maturation : Stade Dur,d818d02d-ec41-484e-a9df-f5a70080bcfb,0.4919185010432,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2024-01-17
2.9305,2298,,,,,16.471761666667,,-16.0375825,SN0293600008,,Maturation : Stade Dur,22dceb3f-b3a4-4885-8480-edfd2c138005,0.69569678727264,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.24,1.24,1.27,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,1.46,2024-04-06
1.3525,2283,,,,,16.471925,,-16.039224166667,SN0292400001,,Maturation : Stade Dur,c6021210-82e1-4fa7-9a64-85e82b1b9cbb,0.52693605283949,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,2024-04-06
3.7508,2312,,,,,16.4718875,,-16.023465,SN0293600016,,Maturation : Stade Dur,4bb1eea4-cfa1-4f9c-ad9b-3952b8a2109c,0.802508241546909,Closure,0.0,0.0,0.0,0.0,0.0,0.0,1.99,1.99,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2024-02-26
7.4516,2301,,,,,16.473048333333,,-16.0216225,SN0293600011,,Maturation : Stade Dur,22dceb3f-b3a4-4885-8480-edfd2c138005,1.24362359153359,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,2.12,2.12,2.12,2.12,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2.2,2024-03-22
1.3649,2300,,,,,16.475283333333,,-16.023810833333,SN0293600010,,Maturation : Stade Dur,22dceb3f-b3a4-4885-8480-edfd2c138005,0.46444520613183,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,2024-02-16
4.6165,2299,,,,,16.476011666667,,-16.0226125,SN0293600009,,Maturation : Stade Dur,22dceb3f-b3a4-4885-8480-edfd2c138005,0.89219014559806,Closure,0.0,0.0,0.0,0.0,0.35,0.35,0.6,0.6,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,1.52,2024-02-26
38.4388,2287,,,,,16.476528333333,,-16.010165,SN0293600003,,Maturation : Stade Dur,c730bf1b-bdc0-4880-a33b-64f07f77b034,2.9707719895112,Closure,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.04,10.57,10.57,10.57,10.57,12.4,12.4,12.42,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,12.43,2024-02-26
