,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2020-01-18,2020-01-23,2020-01-28,2020-02-02,2020-02-07,2020-02-12,2020-02-17,2020-02-22,2020-02-27,2020-03-03,2020-03-08,2020-03-13,2020-03-18,2020-03-23,2020-03-28,2020-04-02,2020-04-07,2020-04-12,2020-04-17,2020-04-22,2020-04-27,2020-05-02,2020-05-07,2020-05-12,2020-05-17,2020-05-22,2020-05-27,2020-06-01,flooding_date
29,5509969,16.25,16.29166667,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-16.333333333333314 16.083333333333428, -16.333333333333314 16.166666666666686, -16.25 16.166666666666686, -16.25 16.083333333333428, -16.333333333333314 16.083333333333428)))",8611.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2018-01-20
30,5518609,16.25,16.45833333,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-15.833333333333314 16.41666666666663, -15.833333333333314 16.5, -15.75 16.5, -15.75 16.41666666666663, -15.833333333333314 16.41666666666663)))",2687.35,13.28,13.28,19.22,23.78,41.46,41.46,44.09,309.61,309.61,786.63,975.82,975.82,1383.01,1383.01,1482.13,1645.49,1645.49,1653.13,1653.13,1666.39,1669.61,1669.61,1673.32,1673.43,1673.79,1677.23,1678.36,1678.36,2008-03-20
31,5518613,16.25,16.45833333,-15.75,-15.625,152969,"MULTIPOLYGON (((-15.916666666666686 16.41666666666663, -15.916666666666686 16.5, -15.833333333333314 16.5, -15.833333333333314 16.41666666666663, -15.916666666666686 16.41666666666663)))",7730.15,6.07,6.07,7.78,8.17,8.17,8.17,8.17,12.15,12.15,18.67,18.67,18.67,20.64,20.64,20.85,23.15,23.15,23.19,23.19,23.4,24.18,24.18,24.65,24.65,24.67,24.73,33.78,33.78,2002-02-20
32,5518612,16.25,16.45833333,-15.75,-15.70833333,152969,"MULTIPOLYGON (((-15.583333333333371 16.41666666666663, -15.583333333333371 16.5, -15.5 16.5, -15.5 16.41666666666663, -15.583333333333371 16.41666666666663)))",784.25,19.86,19.86,28.88,29.83,29.83,29.83,29.83,66.15,66.15,192.82,228.14,228.14,246.11,246.11,247.43,249.74,249.74,249.77,249.77,250.91,253.2,253.2,255.72,255.72,255.8,256.74,258.83,258.83,2022-02-20
33,5518611,16.25,16.45833333,-15.75,-15.79166667,152969,"MULTIPOLYGON (((-16.416666666666686 16, -16.416666666666686 16.083333333333428, -16.333333333333314 16.083333333333428, -16.333333333333314 16, -16.416666666666686 16)))",8566.46,22.73,22.73,24.15,28.64,28.64,63.81,63.81,296.46,296.46,443.22,487.42,487.42,551.3,551.3,591.21,662.63,662.63,682.01,682.01,696.71,718.18,718.18,728.77,728.77,728.88,731.9,743.02,743.02,2027-05-20
34,5518610,16.25,16.45833333,-15.75,-15.875,152969,"MULTIPOLYGON (((-16.08333333333337 16.33333333333337, -16.08333333333337 16.41666666666663, -16 16.41666666666663, -16 16.33333333333337, -16.08333333333337 16.33333333333337)))",8602.56,22.61,22.61,56.6,84.66,162.52,162.64,167.66,491.82,491.82,894.18,1112.09,1112.09,1788.8,1788.8,2044.55,2641.13,2641.13,2841.07,2841.07,2887.77,2892.1,2892.1,2911.71,2911.71,2912.08,2916.71,2930.83,2930.83,2003-03-20
35,5518614,16.25,16.45833333,-15.75,-15.54166667,152969,"MULTIPOLYGON (((-16.5 16, -16.5 16.083333333333428, -16.416666666666686 16.083333333333428, -16.416666666666686 16, -16.5 16)))",7575.04,0,0,0,0,0,0,0,1.56,1.56,9.69,9.72,9.76,10.05,10.05,10.72,10.75,11.21,11.21,11.21,12.52,12.75,12.75,12.75,12.75,12.75,12.75,20.41,20.41,2013-03-20
36,5514292,16.25,16.375,-15.75,-15.70833333,152969,"MULTIPOLYGON (((-16.16666666666663 16.33333333333337, -16.16666666666663 16.41666666666663, -16.08333333333337 16.41666666666663, -16.08333333333337 16.33333333333337, -16.16666666666663 16.33333333333337)))",8602.56,0,0,9.46,9.89,9.89,9.89,9.89,28.75,28.75,59.81,67.42,67.42,84.22,84.22,91.11,106.63,106.63,106.66,106.66,106.87,107.64,107.64,108.36,108.36,108.38,108.53,109.91,109.91,2028-03-20
37,5514291,16.25,16.375,-15.75,-15.79166667,152969,"MULTIPOLYGON (((-16.25 16.33333333333337, -16.25 16.41666666666663, -16.16666666666663 16.41666666666663, -16.16666666666663 16.33333333333337, -16.25 16.33333333333337)))",8593.29,1.41,1.41,9.77,14.51,14.51,14.51,14.51,53.14,53.14,88.55,99.04,99.04,104.43,104.43,104.97,105.91,105.91,105.93,105.93,106.67,107.06,107.06,107.88,107.88,107.91,108.27,192.34,192.34,2008-03-20
38,5514290,16.25,16.375,-15.75,-15.875,152969,"MULTIPOLYGON (((-16.333333333333314 16.33333333333337, -16.333333333333314 16.41666666666663, -16.25 16.41666666666663, -16.25 16.33333333333337, -16.333333333333314 16.33333333333337)))",8171.53,0,0,0.17,2.73,60.15,60.15,74.76,248.98,248.98,421.27,473.18,473.18,543.71,543.71,572.83,607.11,607.11,607.2,607.2,614.47,614.56,614.56,615.32,615.32,615.37,616.27,618.74,618.74,2017-02-20
39,5514289,16.25,16.375,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-15.75 16.33333333333337, -15.75 16.41666666666663, -15.666666666666629 16.41666666666663, -15.666666666666629 16.33333333333337, -15.75 16.33333333333337)))",1758,4.59,4.59,15.06,37.48,65.99,65.99,78.89,331.51,331.51,643.45,756.97,756.97,1034.88,1034.88,1140.1,1316.22,1316.22,1332,1332,1404.49,1441.06,1441.06,1448.58,1448.98,1449.33,1460.04,1461.45,1461.45,2017-02-20
40,5492684,15.75,15.95833333,-16.25,-16.375,152248,"MULTIPOLYGON (((-16.25 16, -16.25 16.083333333333428, -16.16666666666663 16.083333333333428, -16.16666666666663 16, -16.25 16)))",150.92,4.64,4.64,9.88,9.88,9.88,9.88,9.88,10.19,10.19,10.19,10.19,10.19,10.19,10.19,10.62,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,10.66,2028-01-20
41,5492683,15.75,15.95833333,-16.25,-16.45833333,152248,"MULTIPOLYGON (((-15.833333333333314 16.33333333333337, -15.833333333333314 16.41666666666663, -15.75 16.41666666666663, -15.75 16.33333333333337, -15.833333333333314 16.33333333333337)))",3360.76,25.51,25.51,44.39,44.39,44.39,50.81,50.81,61.93,61.93,61.94,64.54,64.54,65.44,65.44,65.94,66.14,67.24,67.28,67.28,67.87,67.87,67.87,71.67,71.67,71.76,71.95,71.95,71.95,2022-05-20
42,5522926,16.75,16.54166667,-16.25,-16.20833333,153688,"MULTIPOLYGON (((-16.333333333333314 16, -16.333333333333314 16.083333333333428, -16.25 16.083333333333428, -16.25 16, -16.333333333333314 16)))",5625.43,22.67,22.67,23.72,23.85,23.97,23.97,44.57,387.42,387.42,431.06,452.15,452.15,459.62,459.62,462.07,475.89,475.89,476.97,476.97,481.07,484.21,484.21,484.21,484.89,484.89,486.85,486.97,486.97,2027-05-20
43,5522925,16.75,16.54166667,-16.25,-16.29166667,153688,"MULTIPOLYGON (((-15.916666666666686 16.33333333333337, -15.916666666666686 16.41666666666663, -15.833333333333314 16.41666666666663, -15.833333333333314 16.33333333333337, -15.916666666666686 16.33333333333337)))",7818.43,14.35,14.35,16.51,18.07,18.46,18.46,18.8,105.58,105.58,153.15,179.22,179.22,183.56,183.56,183.78,188.86,188.86,189.03,189.03,191.89,193.88,193.88,193.89,193.95,193.95,194.42,194.62,194.62,2027-05-20
44,5522927,16.75,16.54166667,-16.25,-16.125,153688,"MULTIPOLYGON (((-16 16.33333333333337, -16 16.41666666666663, -15.916666666666686 16.41666666666663, -15.916666666666686 16.33333333333337, -16 16.33333333333337)))",8593.29,19.61,19.61,22.65,23.57,23.77,23.77,23.77,38.84,38.84,137.1,192.12,192.12,332.79,332.79,400.48,660.64,660.64,669.03,669.03,676.6,687.53,687.53,687.67,690.57,690.57,694.98,699.57,699.57,2027-05-20
45,5522930,16.75,16.54166667,-15.75,-15.875,153689,"MULTIPOLYGON (((-16.416666666666686 16.25, -16.416666666666686 16.33333333333337, -16.333333333333314 16.33333333333337, -16.333333333333314 16.25, -16.416666666666686 16.25)))",2939.01,16.89,16.89,17.42,17.42,17.5,17.5,17.5,17.51,17.51,23.26,27.73,27.73,41.88,41.88,47.7,71.69,71.69,76.72,76.72,80.72,81,81,82.44,82.44,82.44,83.02,83.02,83.02,2022-05-20
46,5522934,16.75,16.54166667,-15.75,-15.54166667,153689,"MULTIPOLYGON (((-16.416666666666686 15.916666666666742, -16.416666666666686 16, -16.333333333333314 16, -16.333333333333314 15.916666666666742, -16.416666666666686 15.916666666666742)))",1657.07,18.18,18.18,22.3,22.35,23.25,23.25,23.25,23.45,23.45,25.47,25.7,27.23,35.16,35.16,35.42,35.54,50.86,53.56,53.56,57.82,59.28,59.28,59.55,59.55,59.65,59.76,82.55,82.55,2027-05-20
47,5522933,16.75,16.54166667,-15.75,-15.625,153689,"MULTIPOLYGON (((-16.08333333333337 16.25, -16.08333333333337 16.33333333333337, -16 16.33333333333337, -16 16.25, -16.08333333333337 16.25)))",8611.84,7.53,7.53,7.94,8.22,8.22,8.22,8.22,8.38,8.38,9.09,9.09,9.09,13.15,13.15,16.95,20.64,20.64,20.71,20.71,21.15,21.28,21.28,21.28,21.28,21.29,21.32,22.25,22.25,2003-03-20
48,5522931,16.75,16.54166667,-15.75,-15.79166667,153689,"MULTIPOLYGON (((-16.5 15.916666666666742, -16.5 16, -16.416666666666686 16, -16.416666666666686 15.916666666666742, -16.5 15.916666666666742)))",7811.43,5.03,5.03,5.2,5.2,5.2,5.2,5.2,5.2,5.2,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.21,5.24,7.75,7.75,7.89,7.89,7.89,7.89,7.89,7.89,2007-05-20
49,5527255,16.75,16.625,-15.25,-15.45833333,153690,"MULTIPOLYGON (((-16.16666666666663 16.25, -16.16666666666663 16.33333333333337, -16.08333333333337 16.33333333333337, -16.08333333333337 16.25, -16.16666666666663 16.25)))",8611.84,1.5,1.5,2.1,2.1,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.12,2.48,2.48,2027-05-20
50,5522936,16.75,16.54166667,-15.25,-15.375,153690,"MULTIPOLYGON (((-16.25 16.25, -16.25 16.33333333333337, -16.16666666666663 16.33333333333337, -16.16666666666663 16.25, -16.25 16.25)))",8602.56,6.56,6.56,10.12,10.15,10.29,10.29,10.29,34.5,34.5,34.59,34.59,34.69,34.81,34.81,36.14,36.14,42.5,43.28,43.28,52.65,56.03,56.03,56.06,56.06,56.63,56.63,58.11,58.11,2018-01-20
51,5522935,16.75,16.54166667,-15.25,-15.45833333,153690,"MULTIPOLYGON (((-16.333333333333314 16.25, -16.333333333333314 16.33333333333337, -16.25 16.33333333333337, -16.25 16.25, -16.333333333333314 16.25)))",8611.84,6.61,6.61,10.32,10.33,11.23,11.23,11.23,46.98,46.98,54.45,54.45,62.8,152.97,152.97,230.66,230.66,406.29,430.32,430.32,478.96,497.53,497.53,498.61,498.61,500.57,500.57,534.16,534.16,2013-03-20
