,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2019-01-18,2019-01-23,2019-01-28,2019-02-02,2019-02-07,2019-02-12,2019-02-17,2019-02-22,2019-02-27,2019-03-04,2019-03-09,2019-03-14,2019-03-19,2019-03-24,2019-03-29,2019-04-03,2019-04-08,2019-04-13,2019-04-18,2019-04-23,2019-04-28,2019-05-03,2019-05-08,2019-05-13,2019-05-18,2019-05-23,2019-05-28,2019-06-02,2019-06-07,2019-06-12,2019-06-17,2019-06-22,2019-06-27,2019-07-02,2019-07-07,2019-07-12,2019-07-17,2019-07-22,2019-07-27,flooding_date
35,5518614,16.25,16.45833333,-15.75,-15.54166667,152969,"MULTIPOLYGON (((-16.5 16, -16.5 16.083333333333428, -16.416666666666686 16.083333333333428, -16.416666666666686 16, -16.5 16)))",7575.04,1.46,1.46,1.47,1.73,1.73,1.73,1.73,2.2,4.15,4.15,15.08,15.08,24.58,24.9,25.87,25.87,26,26.09,26.14,26.14,26.77,26.79,26.79,26.79,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.8,26.94,26.94,26.94,26.94,26.94,26.94,26.94,2027-02-19
36,5514292,16.25,16.375,-15.75,-15.70833333,152969,"MULTIPOLYGON (((-16.16666666666663 16.33333333333337, -16.16666666666663 16.41666666666663, -16.08333333333337 16.41666666666663, -16.08333333333337 16.33333333333337, -16.16666666666663 16.33333333333337)))",8602.560000000001,8.05,8.05,8.05,15.01,15.01,15.01,15.01,15.01,15.02,15.02,15.02,15.02,15.59,27.11,31.45,31.45,31.55,31.55,31.63,31.63,32.75,33.31,33.33,33.33,37.73,37.73,38.84,38.84,38.85,38.85,38.85,38.85,38.85,38.85,38.86,38.86,38.86,38.86,38.86,2018-01-19
37,5514291,16.25,16.375,-15.75,-15.79166667,152969,"MULTIPOLYGON (((-16.25 16.33333333333337, -16.25 16.41666666666663, -16.16666666666663 16.41666666666663, -16.16666666666663 16.33333333333337, -16.25 16.33333333333337)))",8593.29,6.69,6.69,6.69,15.53,15.53,15.53,15.53,43.63,52.88,52.88,58.26,58.26,75.62,134.83,202.4,202.4,233.36,233.36,234.22,234.22,235.55,237.23,237.55,237.55,284.04,284.04,285.08,285.13,285.39,285.39,285.39,285.39,285.39,285.39,285.41,285.41,285.41,285.41,285.52,2019-03-19
38,5514290,16.25,16.375,-15.75,-15.875,152969,"MULTIPOLYGON (((-16.333333333333314 16.33333333333337, -16.333333333333314 16.41666666666663, -16.25 16.41666666666663, -16.25 16.33333333333337, -16.333333333333314 16.33333333333337)))",8171.530000000001,1.21,1.21,1.21,18.03,18.03,18.03,18.03,271.51,271.51,369.5,456.73,456.73,506.31,581.77,652.43,652.43,656.32,656.32,656.52,656.52,657.91,658.46,658.59,658.59,662.22,662.22,663.84,663.87,663.87,663.87,663.87,663.87,663.88,663.88,663.88,663.98,663.98,663.98,663.98,2012-07-19
39,5514289,16.25,16.375,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-15.75 16.33333333333337, -15.75 16.41666666666663, -15.666666666666629 16.41666666666663, -15.666666666666629 16.33333333333337, -15.75 16.33333333333337)))",1758,12.62,12.62,12.62,93.72,93.72,93.72,93.72,450.25,450.25,641.35,737.2,737.2,1137.59,1435.36,1466.05,1466.05,1707.04,1707.04,1708.44,1708.44,1754.46,1756.43,1760.89,1760.89,1789.39,1801.93,1808.4,1818.81,1818.81,1819.79,1819.79,1819.79,1821.37,1821.4,1821.4,1821.63,1821.63,1821.63,1821.78,2002-02-19
40,5492684,15.75,15.95833333,-16.25,-16.375,152248,"MULTIPOLYGON (((-16.25 16, -16.25 16.083333333333428, -16.16666666666663 16.083333333333428, -16.16666666666663 16, -16.25 16)))",150.92000000000002,9.68,9.68,9.68,12,12,12,12,12.1,12.1,12.1,12.1,12.1,12.1,12.14,12.46,12.46,12.48,12.86,12.86,12.86,13.27,13.54,13.56,13.56,13.56,13.56,13.56,13.56,13.56,13.57,13.57,13.61,13.61,13.61,13.63,14.01,14.01,14.01,14.01,2018-01-19
41,5492683,15.75,15.95833333,-16.25,-16.45833333,152248,"MULTIPOLYGON (((-15.833333333333314 16.33333333333337, -15.833333333333314 16.41666666666663, -15.75 16.41666666666663, -15.75 16.33333333333337, -15.833333333333314 16.33333333333337)))",3360.76,45.6,45.6,45.6,70.42,70.42,70.42,70.42,73.8,74.47,74.47,76.29,76.29,76.29,78.76,80.79,80.79,81.63,83.21,85.93,85.93,93.35,93.8,94.49,94.49,99.49,99.49,99.57,99.77,99.77,100.78,100.78,100.94,100.94,100.95,108.99,109.41,109.41,109.41,110.8,2002-06-19
42,5522926,16.75,16.54166667,-16.25,-16.20833333,153688,"MULTIPOLYGON (((-16.333333333333314 16, -16.333333333333314 16.083333333333428, -16.25 16.083333333333428, -16.25 16, -16.333333333333314 16)))",5625.43,16.28,16.28,16.28,25.92,25.92,25.92,25.92,101.97,101.97,119.41,343.21,343.21,412.59,456.09,456.09,456.09,468.63,468.63,468.63,468.63,469.88,469.88,471.18,471.18,472.52,473.31,473.33,473.89,473.89,475.52,475.52,475.52,475.52,475.85,475.85,475.85,475.85,475.85,475.85,2002-07-19
43,5522925,16.75,16.54166667,-16.25,-16.29166667,153688,"MULTIPOLYGON (((-15.916666666666686 16.33333333333337, -15.916666666666686 16.41666666666663, -15.833333333333314 16.41666666666663, -15.833333333333314 16.33333333333337, -15.916666666666686 16.33333333333337)))",7818.43,8.5,8.5,8.5,13.85,13.85,13.85,13.85,50.84,50.84,55.16,56.4,56.4,193.11,214.25,214.25,214.25,216.34,216.34,216.34,216.34,218.27,218.27,220.21,220.21,222.07,223.05,223.08,223.31,223.31,223.73,223.73,223.73,223.8,224.13,224.13,224.13,224.13,224.13,224.13,2018-01-19
44,5522927,16.75,16.54166667,-16.25,-16.125,153688,"MULTIPOLYGON (((-16 16.33333333333337, -16 16.41666666666663, -15.916666666666686 16.41666666666663, -15.916666666666686 16.33333333333337, -16 16.33333333333337)))",8593.29,16.55,16.55,16.55,44.4,44.4,44.4,44.4,210.17,210.17,298.73,419.64,419.64,498.37,657.61,657.61,657.61,765.05,765.05,765.05,765.05,778.09,778.09,783.91,783.91,805.77,816.92,817.69,817.92,817.92,833.94,833.94,833.94,834.81,834.83,834.83,835.07,835.07,835.07,835.07,2012-07-19
45,5522930,16.75,16.54166667,-15.75,-15.875,153689,"MULTIPOLYGON (((-16.416666666666686 16.25, -16.416666666666686 16.33333333333337, -16.333333333333314 16.33333333333337, -16.333333333333314 16.25, -16.416666666666686 16.25)))",2939.01,12.6,12.6,12.6,21.43,21.43,21.43,21.43,21.43,21.43,21.43,31.75,31.75,36.77,64.37,80.06,80.06,95.26,95.26,100.8,100.8,101.66,102.92,102.92,102.92,124.61,124.61,125.19,125.25,125.25,125.34,125.34,125.34,125.35,125.35,125.35,125.38,125.38,125.38,125.38,2008-04-19
46,5522934,16.75,16.54166667,-15.75,-15.54166667,153689,"MULTIPOLYGON (((-16.416666666666686 15.916666666666742, -16.416666666666686 16, -16.333333333333314 16, -16.333333333333314 15.916666666666742, -16.416666666666686 15.916666666666742)))",1657.0700000000002,26.69,26.69,30.07,31.25,31.64,33.27,33.27,38.29,41.56,41.56,50.96,50.96,56.65,56.92,102.71,102.71,103.19,106.5,110.42,110.42,114.98,116.4,116.4,116.4,117.02,117.02,117.32,117.32,117.36,117.36,117.36,117.36,117.36,117.36,117.38,117.38,117.38,117.38,117.52,2024-03-19
47,5522933,16.75,16.54166667,-15.75,-15.625,153689,"MULTIPOLYGON (((-16.08333333333337 16.25, -16.08333333333337 16.33333333333337, -16 16.33333333333337, -16 16.25, -16.08333333333337 16.25)))",8611.84,5.59,5.59,5.59,10.44,10.44,10.44,10.44,11.82,14.63,14.63,18.5,18.5,19.59,22.84,24.17,24.17,27.47,27.47,27.98,27.98,28.24,28.85,28.85,28.85,28.85,28.85,29.05,29.05,29.05,29.05,29.05,29.05,29.05,29.05,29.05,29.05,29.05,29.05,29.06,2018-01-19
48,5522931,16.75,16.54166667,-15.75,-15.79166667,153689,"MULTIPOLYGON (((-16.5 15.916666666666742, -16.5 16, -16.416666666666686 16, -16.416666666666686 15.916666666666742, -16.5 15.916666666666742)))",7811.43,2.47,2.47,2.47,6.29,6.29,6.29,6.29,6.29,6.29,6.29,6.3,6.3,6.3,6.37,9.03,9.03,9.52,9.52,9.52,9.52,9.52,9.75,9.75,9.75,10.02,10.02,10.18,10.18,10.18,10.18,10.18,10.22,10.22,10.22,10.22,10.22,10.22,10.22,10.22,2003-05-19
49,5527255,16.75,16.625,-15.25,-15.45833333,153690,"MULTIPOLYGON (((-16.16666666666663 16.25, -16.16666666666663 16.33333333333337, -16.08333333333337 16.33333333333337, -16.08333333333337 16.25, -16.16666666666663 16.25)))",8611.84,3.33,3.33,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.79,3.81,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2003-05-19
50,5522936,16.75,16.54166667,-15.25,-15.375,153690,"MULTIPOLYGON (((-16.25 16.25, -16.25 16.33333333333337, -16.16666666666663 16.33333333333337, -16.16666666666663 16.25, -16.25 16.25)))",8602.560000000001,12.93,12.93,14.96,14.96,15.16,15.5,15.5,15.51,15.51,15.51,15.54,15.54,15.57,15.57,30.25,30.25,31.31,34.74,37.55,37.55,46.34,51.66,53.36,53.36,59.77,59.77,65.12,65.12,65.5,65.5,65.5,65.5,65.5,65.5,84.56,84.56,89.69,89.69,89.69,2017-07-19
51,5522935,16.75,16.54166667,-15.25,-15.45833333,153690,"MULTIPOLYGON (((-16.333333333333314 16.25, -16.333333333333314 16.33333333333337, -16.25 16.33333333333337, -16.25 16.25, -16.333333333333314 16.25)))",8611.84,12.74,12.74,15.9,15.9,16.94,20.81,20.81,22.5,27.6,27.6,56.36,56.36,84.62,84.62,260.43,260.43,420.57,468.84,533.1,533.1,575.83,588.66,589.54,589.54,600.19,600.19,600.71,600.71,603.45,603.45,603.92,604.08,604.08,604.08,604.11,604.11,604.13,604.13,604.88,2019-03-19
