,ID,LatNP,Latitude,LonNP,Longitude,nasapid,2022-01-17,2022-01-22,2022-02-01,2022-02-06,2022-02-11,2022-02-16,2022-02-21,2022-02-26,2022-03-03,2022-03-08,2022-03-13,2022-03-18,2022-03-23,2022-03-28,2022-04-02,2022-04-07,2022-04-12,2022-04-17,2022-04-22,2022-04-27,2022-05-02,2022-05-07,2022-05-12,2022-05-17,2022-05-22,2022-05-27,2022-06-01,2022-06-06,2022-06-11,2022-06-16,2022-06-21,2022-06-26,2022-07-01,2022-07-06,2022-07-11,2022-07-16,2022-07-21,flooding_date
10,5518607,16.25,16.4583333333,-16.25,-16.125,152968,68.86,68.86,76.88,76.88,95.95,95.95,95.95,282.81,282.81,304.39,638.25,638.25,1482.70,1482.70,1623.59,1623.59,1673.80,1673.80,1697.34,1697.34,1744.98,1758.92,1765.01,1765.40,1765.40,1765.40,1765.84,1765.84,1766.96,1767.40,1767.40,1767.40,1768.01,1768.01,1768.01,1768.01,1768.01,2022-02-11
11,5518606,16.25,16.4583333333,-16.25,-16.2083333333,152968,28.23,28.23,28.23,28.23,28.37,28.37,28.37,234.57,234.57,292.99,391.96,391.96,623.38,623.38,633.45,633.45,634.44,634.44,636.84,636.84,651.35,660.84,664.85,665.12,665.12,665.12,665.12,665.12,665.30,665.30,665.30,665.30,665.37,665.37,665.37,665.37,665.37,2022-07-01
12,5501327,16.25,16.125,-16.25,-16.125,152968,0.00,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,0.08,2022-01-22
13,5501326,16.25,16.125,-16.25,-16.2083333333,152968,0.07,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,0.39,2022-01-22
14,5501325,16.25,16.125,-16.25,-16.2916666667,152968,31.75,34.65,34.69,34.70,35.30,35.30,35.30,35.30,35.30,35.30,35.85,35.85,48.98,48.98,68.79,79.23,79.23,79.23,86.09,86.09,102.09,103.65,103.67,103.67,103.67,103.67,103.67,103.67,103.67,103.67,103.67,103.67,103.67,103.70,103.84,103.84,103.93,2022-04-22
15,5497004,16.25,16.0416666667,-16.25,-16.375,152968,27.02,29.56,30.41,30.71,32.53,32.53,32.53,32.53,32.53,32.53,32.78,32.78,35.64,35.64,37.78,39.73,39.73,39.73,39.88,39.88,46.42,46.84,47.23,47.23,47.23,47.23,47.23,47.23,47.24,47.24,47.24,47.24,47.24,47.61,49.73,49.73,50.53,2022-07-21
16,5514288,16.25,16.375,-16.25,-16.0416666667,152968,85.19,85.19,97.22,97.22,122.25,122.25,122.25,294.54,294.54,445.92,651.87,651.87,1292.07,1292.07,1460.92,1460.92,1557.45,1557.45,1587.58,1587.58,1709.97,1730.48,1744.58,1745.09,1745.09,1745.09,1745.12,1745.12,1746.81,1748.14,1748.14,1748.14,1748.37,1748.37,1748.37,1748.37,1748.37,2022-02-01
17,5497003,16.25,16.0416666667,-16.25,-16.4583333333,152968,114.16,125.41,126.49,126.69,127.28,127.28,127.28,127.28,127.29,127.29,127.61,127.61,129.11,129.11,129.68,129.74,129.74,129.74,129.86,129.86,132.13,132.94,132.98,132.98,132.99,132.99,132.99,132.99,136.93,136.93,136.93,136.93,136.93,273.50,307.54,307.54,545.19,2022-07-21
18,5514287,16.25,16.375,-16.25,-16.125,152968,77.89,77.89,121.74,121.74,191.95,191.95,191.95,381.43,381.43,454.33,634.16,634.16,901.82,901.82,934.52,934.52,951.96,951.96,976.67,976.67,1042.72,1049.13,1055.80,1056.51,1056.51,1056.51,1056.84,1056.84,1056.84,1056.86,1056.86,1056.86,1080.93,1080.93,1080.93,1080.93,1080.93,2022-04-22
19,5514286,16.25,16.375,-16.25,-16.2083333333,152968,20.80,20.80,23.65,23.65,25.12,25.12,25.12,491.89,491.89,582.12,669.01,669.01,961.78,961.78,989.99,989.99,995.81,995.81,1015.32,1015.32,1040.49,1044.65,1049.75,1049.78,1049.78,1049.78,1049.82,1049.82,1049.97,1049.97,1049.97,1049.97,1050.33,1050.33,1050.33,1050.33,1050.33,2022-04-12
20,5514285,16.25,16.375,-16.25,-16.2916666667,152968,14.39,14.39,15.77,15.77,15.97,15.97,15.97,17.94,17.94,17.96,51.12,51.12,122.82,122.82,126.35,126.35,126.97,126.97,128.96,128.96,134.18,135.57,136.54,136.85,136.85,136.85,136.88,136.88,137.14,137.29,137.29,137.29,140.08,140.08,140.10,140.10,140.10,2022-03-13
21,5497006,16.25,16.0416666667,-16.25,-16.2083333333,152968,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2022-01-17
22,5497005,16.25,16.0416666667,-16.25,-16.2916666667,152968,3.34,4.12,4.12,4.12,7.14,7.14,7.14,7.14,7.14,7.14,7.14,7.14,8.82,8.82,8.83,8.90,8.90,8.90,8.91,8.91,16.04,16.89,17.69,17.69,17.69,17.69,17.69,17.69,17.69,17.69,17.69,17.69,17.69,17.69,17.70,17.70,17.73,2022-04-22
23,5509964,16.25,16.2916666667,-16.25,-16.375,152968,8.55,8.55,9.06,9.06,9.20,9.20,9.20,20.95,20.95,25.33,31.13,31.13,46.91,46.91,47.00,47.00,47.00,47.00,47.05,47.05,48.23,48.88,49.73,49.73,49.92,49.92,49.92,49.92,49.92,49.92,49.92,49.92,49.95,49.95,49.95,49.95,49.95,2022-02-11
24,5509968,16.25,16.2916666667,-16.25,-16.0416666667,152968,272.52,297.17,297.17,297.17,297.72,297.72,297.72,310.03,310.03,316.80,331.15,331.15,346.61,346.61,349.86,349.86,349.87,349.87,353.66,353.66,356.91,356.92,356.96,356.96,356.96,356.96,356.96,356.96,356.96,356.96,356.96,356.96,358.14,358.14,358.45,358.45,358.67,2022-07-21
25,5509967,16.25,16.2916666667,-16.25,-16.125,152968,40.81,61.84,73.65,73.65,101.10,101.10,101.10,138.69,138.69,176.70,188.91,188.91,285.17,285.17,298.09,298.09,302.54,302.54,303.06,303.06,316.97,317.90,319.43,319.43,319.43,319.43,319.44,319.44,319.45,319.46,319.46,319.46,319.68,319.68,319.69,319.69,319.70,2022-02-01
26,5509966,16.25,16.2916666667,-16.25,-16.2083333333,152968,31.27,41.71,45.02,45.02,58.86,58.86,58.86,207.08,207.08,255.37,328.93,328.93,617.41,617.41,688.65,688.65,746.71,746.71,810.19,810.19,965.60,990.32,997.80,997.88,998.26,998.26,998.35,998.35,998.56,998.56,998.56,998.56,1001.54,1001.54,1002.27,1002.27,1003.47,2022-06-11
27,5509965,16.25,16.2916666667,-16.25,-16.2916666667,152968,37.25,42.47,48.70,48.70,111.84,111.84,111.84,291.14,291.14,336.62,477.41,477.41,1178.04,1178.04,1248.73,1248.73,1276.49,1276.49,1288.39,1288.39,1333.05,1343.50,1349.92,1349.97,1349.97,1349.97,1349.97,1349.97,1349.97,1349.97,1349.97,1349.97,1350.02,1350.02,1350.15,1350.15,1350.44,2022-02-01
28,5509970,16.25,16.2916666667,-15.75,-15.875,152969,278.75,278.75,278.85,278.85,278.85,278.85,278.85,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,281.20,2022-02-26
29,5509969,16.25,16.2916666667,-15.75,-15.9583333333,152969,693.51,743.44,743.45,743.45,743.45,743.45,743.45,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.52,749.62,749.65,749.65,749.65,749.65,749.65,749.65,749.65,749.65,749.65,751.15,751.15,751.15,751.15,751.15,2022-07-01
30,5518609,16.25,16.4583333333,-15.75,-15.9583333333,152969,213.15,213.15,347.78,347.78,639.82,729.89,729.89,1206.20,1206.20,1359.79,1492.70,1492.70,1717.09,1717.09,1764.95,1764.95,1787.81,1801.61,1807.20,1807.20,1843.65,1847.48,1852.18,1852.46,1853.10,1853.10,1853.13,1853.13,1853.14,1854.68,1854.68,1866.13,1866.43,1866.43,1866.44,1866.47,1866.47,2022-02-16
31,5518613,16.25,16.4583333333,-15.75,-15.625,152969,0.00,0.00,7.65,7.65,9.33,13.65,13.65,13.65,13.81,13.81,14.41,14.41,14.88,14.88,16.79,16.79,17.45,18.48,18.56,18.56,20.32,20.35,20.95,20.95,21.07,21.07,21.08,21.08,21.08,21.08,21.08,21.08,21.08,21.08,21.08,21.91,21.91,2022-02-11
