,ID,LatNP,Latitude,LonNP,Longitude,nasapid,geometry,aoi_area,2023-01-17,2023-01-22,2023-01-27,2023-02-01,2023-02-06,2023-02-11,2023-02-16,2023-02-21,2023-02-26,2023-03-03,2023-03-08,2023-03-13,2023-03-18,2023-03-23,2023-03-28,2023-04-02,2023-04-07,2023-04-12,2023-04-17,2023-04-22,2023-04-27,2023-05-02,2023-05-07,2023-05-12,2023-05-17,2023-05-22,2023-05-27,2023-06-01,2023-06-06,2023-06-11,2023-06-16,2023-06-21,2023-06-26,2023-07-01,flooding_date
20,5514285,16.25,16.375,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-15.416666666666686 16.5, -15.416666666666686 16.583333333333314, -15.333333333333258 16.583333333333314, -15.333333333333258 16.5, -15.416666666666686 16.5)))",2194.49,29.99,30.05,30.05,30.06,30.1,30.1,30.1,30.1,30.1,30.1,78.18,78.18,78.18,119.54,165.2,167.62,167.62,167.62,217.61,217.61,266.75,266.75,266.75,289.27,289.27,303.02,303.02,303.02,334.52,334.52,334.52,334.65,334.81,334.81,08-03-23
21,5497006,16.25,16.04166667,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-16.08333333333337 16.41666666666663, -16.08333333333337 16.5, -16 16.5, -16 16.41666666666663, -16.08333333333337 16.41666666666663)))",7465.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-01-23
22,5497005,16.25,16.04166667,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-15.5 16.5, -15.5 16.583333333333314, -15.416666666666686 16.583333333333314, -15.416666666666686 16.5, -15.5 16.5)))",5720.01,19.96,35.28,37.15,37.15,37.31,37.31,53.69,53.69,53.69,59.64,59.64,59.64,59.64,59.73,59.73,59.81,59.81,59.81,59.83,61.09,61.09,61.18,61.18,61.19,61.25,61.25,61.29,61.29,62.52,62.52,62.52,62.52,62.52,62.52,06-06-23
23,5509964,16.25,16.29166667,-16.25,-16.375,152968,"MULTIPOLYGON (((-16.16666666666663 16.41666666666663, -16.16666666666663 16.5, -16.08333333333337 16.5, -16.08333333333337 16.41666666666663, -16.16666666666663 16.41666666666663)))",8611.84,17.8,19.08,19.13,19.21,19.72,19.72,84.82,84.82,84.87,132.02,132.02,132.71,132.71,135.73,136.41,136.5,136.5,136.5,137.3,137.7,137.7,137.94,137.94,138.6,138.6,139.83,140.68,140.68,143.72,143.72,143.72,143.72,143.72,143.72,26-02-23
24,5509968,16.25,16.29166667,-16.25,-16.04166667,152968,"MULTIPOLYGON (((-16.25 16.41666666666663, -16.25 16.5, -16.16666666666663 16.5, -16.16666666666663 16.41666666666663, -16.25 16.41666666666663)))",8602.56,0,0,0,0,0,0,0,2.38,2.38,9,27.9,27.9,27.9,57.75,79.29,86.72,86.72,86.72,205.15,205.15,317.34,317.34,317.34,367.84,367.84,388.57,388.57,388.57,406.37,406.37,406.37,408.2,413.89,413.89,03-03-23
25,5509967,16.25,16.29166667,-16.25,-16.125,152968,"MULTIPOLYGON (((-16.16666666666663 16.083333333333428, -16.16666666666663 16.166666666666686, -16.08333333333337 16.166666666666686, -16.08333333333337 16.083333333333428, -16.16666666666663 16.083333333333428)))",2231.16,25.57,26.77,26.85,32.94,45.57,45.57,45.57,63.64,63.66,305.36,520.8,520.86,520.86,585.25,607.39,619.57,619.57,619.57,1065.42,1065.48,1388.42,1388.42,1388.42,1452.79,1452.79,1467.66,1467.66,1467.66,1482.46,1482.46,1482.46,1482.86,1483.5,1483.5,26-02-23
26,5509966,16.25,16.29166667,-16.25,-16.20833333,152968,"MULTIPOLYGON (((-15.666666666666629 16.41666666666663, -15.666666666666629 16.5, -15.583333333333371 16.5, -15.583333333333371 16.41666666666663, -15.666666666666629 16.41666666666663)))",2349.42,38.66,46.76,46.86,51.64,161.07,161.07,161.07,216.76,217.75,404.32,674.72,675.45,675.45,1162.89,1251.94,1261.73,1261.73,1261.73,1369.03,1429.7,1455.2,1459.72,1459.72,1461.96,1461.96,1465.65,1466.51,1466.51,1490.6,1490.6,1490.6,1492.02,1495.63,1495.63,13-03-23
27,5509965,16.25,16.29166667,-16.25,-16.29166667,152968,"MULTIPOLYGON (((-16.25 16.083333333333428, -16.25 16.166666666666686, -16.16666666666663 16.166666666666686, -16.16666666666663 16.083333333333428, -16.25 16.083333333333428)))",6238.32,94.76,103.81,104.57,104.89,213.49,213.49,219.43,251.17,262.03,647.12,1017.22,1095.35,1095.35,1346.41,1409.47,1419.87,1419.87,1419.87,1554.85,1560.33,1635.19,1640.16,1640.16,1654.98,1654.98,1666.15,1667.14,1667.14,1740.12,1740.12,1740.12,1755.53,1763.52,1763.52,17-01-23
28,5509970,16.25,16.29166667,-15.75,-15.875,152969,"MULTIPOLYGON (((-15.75 16.41666666666663, -15.75 16.5, -15.666666666666629 16.5, -15.666666666666629 16.41666666666663, -15.75 16.41666666666663)))",2464.97,0.68,0.68,0.68,0.68,0.68,0.68,12.69,12.69,12.69,12.69,12.7,12.7,12.7,12.7,12.7,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,19.32,02-04-23
29,5509969,16.25,16.29166667,-15.75,-15.95833333,152969,"MULTIPOLYGON (((-16.333333333333314 16.083333333333428, -16.333333333333314 16.166666666666686, -16.25 16.166666666666686, -16.25 16.083333333333428, -16.333333333333314 16.083333333333428)))",8611.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17-01-23
